MovieID,Title,Genres,tmdbID
122,Boomerang (1992),Comedy|Romance,11066
123,Chungking Express (1994),Drama|Mystery|Romance,11104
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,37975
125,Flirting With Disaster (1996),Comedy,2074
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,27793
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,44284
128,Jupiter's Wife (1994),Documentary,290157
129,Pie in the Sky (1995),Comedy|Romance,110972
130,Angela (1995),Drama,32622
131,Frankie Starlight (1995),Drama|Romance,73067
132,Jade (1995),Thriller,11863
133,Nueba Yol (1995),Comedy|Drama,55475
134,Sonic Outlaws (1995),Documentary,124636
135,Down Periscope (1996),Comedy,9101
136,From the Journals of Jean Seberg (1995),Documentary,123360
137,Man of the Year (1995),Documentary,5757
138,"Neon Bible, The (1995)",Drama,39428
139,Target (1995),Action|Drama,124639
140,Up Close and Personal (1996),Drama|Romance,9302
141,"Birdcage, The (1996)",Comedy,11000
142,Shadows (Cienie) (1988),Drama,525153
143,Gospa (1995),Drama,249882
144,"Brothers McMullen, The (1995)",Comedy,16388
145,Bad Boys (1995),Action,9737
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,30765
147,"Basketball Diaries, The (1995)",Drama,10474
148,"Awfully Big Adventure, An (1995)",Drama,22279
149,Amateur (1994),Crime|Drama|Thriller,30157
150,Apollo 13 (1995),Drama,568
151,Rob Roy (1995),Drama|Romance|War,11780
152,"Addiction, The (1995)",Horror,34996
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,414
154,Belle de jour (1967),Drama,649
155,Beyond Rangoon (1995),Drama|War,1873
156,Blue in the Face (1995),Comedy,5894
157,Canadian Bacon (1994),Comedy|War,1775
158,Casper (1995),Adventure|Children's,8839
159,Clockers (1995),Drama,20649
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,10329
161,Crimson Tide (1995),Drama|Thriller|War,8963
162,Crumb (1994),Documentary,26564
163,Desperado (1995),Action|Romance|Thriller,8068
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,8512
165,Die Hard: With a Vengeance (1995),Action|Thriller,1572
166,"Doom Generation, The (1995)",Comedy|Drama,13552
167,Feast of July (1995),Drama,259209
168,First Knight (1995),Action|Adventure|Drama|Romance,6520
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,9073
170,Hackers (1995),Action|Crime|Thriller,10428
171,Jeffrey (1995),Comedy,17447
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,9886
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,9482
174,Jury Duty (1995),Comedy,19326
175,Kids (1995),Drama,9344
176,Living in Oblivion (1995),Comedy,9071
177,Lord of Illusions (1995),Horror,8973
178,Love & Human Remains (1993),Comedy,15730
179,Mad Love (1995),Drama|Romance,47608
180,Mallrats (1995),Comedy,2293
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,9070
182,Moonlight and Valentino (1995),Drama|Romance,68274
183,Mute Witness (1994),Thriller,48787
184,Nadja (1994),Drama,34574
185,"Net, The (1995)",Sci-Fi|Thriller,1642
186,Nine Months (1995),Comedy,11472
187,Party Girl (1995),Comedy,36196
188,"Prophecy, The (1995)",Horror,11980
189,Reckless (1995),Comedy,58372
190,Safe (1995),Thriller,32646
191,"Scarlet Letter, The (1995)",Drama,10533
192,"Show, The (1995)",Documentary,56088
193,Showgirls (1995),Drama,10802
194,Smoke (1995),Drama,10149
195,Something to Talk About (1995),Comedy|Drama|Romance,18402
196,Species (1995),Horror|Sci-Fi,9348
197,"Stars Fell on Henrietta, The (1995)",Drama,139408
198,Strange Days (1995),Action|Crime|Sci-Fi,281
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,5967
200,"Tie That Binds, The (1995)",Thriller,79593
201,Three Wishes (1995),Drama,47939
202,Total Eclipse (1995),Drama|Romance,36834
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,9090
204,Under Siege 2: Dark Territory (1995),Action,3512
205,Unstrung Heroes (1995),Comedy|Drama,52856
206,Unzipped (1995),Documentary,77350
207,"Walk in the Clouds, A (1995)",Drama|Romance,9560
208,Waterworld (1995),Action|Adventure,9804
209,White Man's Burden (1995),Drama,31611
210,Wild Bill (1995),Western,65796
211,"Browning Version, The (1994)",Drama,49805
212,Bushwhacked (1995),Comedy,26258
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,50797
214,Before the Rain (Pred dozhdot) (1994),Drama,19155
215,Before Sunrise (1995),Drama|Romance,76
216,Billy Madison (1995),Comedy,11017
217,"Babysitter, The (1995)",Drama|Thriller,37141
218,Boys on the Side (1995),Comedy|Drama,9382
219,"Cure, The (1995)",Drama,6715
220,Castle Freak (1995),Horror,18256
222,Circle of Friends (1995),Drama|Romance,22625
223,Clerks (1994),Comedy,2292
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1909
225,Disclosure (1994),Drama|Thriller,8984
226,Dream Man (1995),Thriller,61813
227,Drop Zone (1994),Action,4954
228,Destiny Turns on the Radio (1995),Comedy,62488
229,Death and the Maiden (1994),Drama|Thriller,10531
230,Dolores Claiborne (1994),Drama|Thriller,11929
231,Dumb & Dumber (1994),Comedy,8467
232,Eat Drink Man Woman (1994),Comedy|Drama,10451
233,Exotica (1994),Drama,20156
234,Exit to Eden (1994),Comedy,18395
235,Ed Wood (1994),Comedy|Drama,522
236,French Kiss (1995),Comedy|Romance,397
237,Forget Paris (1995),Comedy|Romance,10525
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,27985
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,15789
240,Hideaway (1995),Thriller,27303
241,Fluke (1995),Children's|Drama,21183
242,Farinelli: il castrato (1994),Drama|Musical,10954
243,Gordy (1995),Comedy,47867
244,Gumby: The Movie (1995),Animation|Children's,43475
245,"Glass Shield, The (1994)",Crime|Drama,72031
246,Hoop Dreams (1994),Documentary,14275
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,1024
248,Houseguest (1994),Comedy,17207
249,Immortal Beloved (1994),Drama|Romance,13701
250,Heavyweights (1994),Children's|Comedy,14819
251,"Hunted, The (1995)",Action,32631
252,I.Q. (1994),Comedy|Romance,11777
253,Interview with the Vampire (1994),Drama|Horror,628
254,Jefferson in Paris (1995),Drama,87729
255,"Jerky Boys, The (1994)",Comedy,18713
256,Junior (1994),Comedy|Sci-Fi,6280
257,Just Cause (1995),Mystery|Thriller,9061
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,37108
259,Kiss of Death (1995),Crime|Drama|Thriller,6071
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,11
261,Little Women (1994),Drama,9587
262,"Little Princess, A (1995)",Children's|Drama,19101
263,Ladybird Ladybird (1994),Drama,49980
264,"Enfer, L' (1994)",Drama,17961
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,18183
266,Legends of the Fall (1994),Drama|Romance|War|Western,4476
267,Major Payne (1994),Comedy,11008
268,Little Odessa (1994),Drama,47504
269,My Crazy Life (Mi vida loca) (1993),Drama,32325
270,Love Affair (1994),Drama|Romance,43742
271,Losing Isaiah (1995),Drama,28313
272,"Madness of King George, The (1994)",Drama,11318
273,Mary Shelley's Frankenstein (1994),Drama|Horror,3036
274,Man of the House (1995),Comedy,40490
275,Mixed Nuts (1994),Comedy,24070
276,Milk Money (1994),Comedy|Romance,8986
277,Miracle on 34th Street (1994),Drama,10510
278,Miami Rhapsody (1995),Comedy,17402
279,My Family (1995),Drama,38722
280,Murder in the First (1995),Drama|Thriller,8438
281,Nobody's Fool (1994),Drama,11593
282,Nell (1994),Drama,1945
283,New Jersey Drive (1995),Crime|Drama,39310
284,New York Cop (1996),Action|Crime,109560
285,Beyond Bedlam (1993),Drama|Horror,56428
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,63105
287,Nina Takes a Lover (1994),Comedy|Romance,131957
288,Natural Born Killers (1994),Action|Thriller,241
289,Only You (1994),Comedy|Romance,9058
290,Once Were Warriors (1994),Crime|Drama,527
292,Outbreak (1995),Action|Drama|Thriller,6950
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,101
294,"Perez Family, The (1995)",Comedy|Romance,63020
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,2307
296,Pulp Fiction (1994),Crime|Drama,680
297,Panther (1995),Drama,41478
298,Pushing Hands (1992),Comedy,25296
299,Priest (1994),Drama,40156
300,Quiz Show (1994),Drama,11450
301,Picture Bride (1995),Drama|Romance,30304
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,10452
303,"Quick and the Dead, The (1995)",Action|Adventure|Western,12106
304,Roommates (1995),Comedy|Drama,161495
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,3586
306,Three Colors: Red (1994),Drama,110
307,Three Colors: Blue (1993),Drama,108
308,Three Colors: White (1994),Drama,109
309,"Red Firecracker, Green Firecracker (1994)",Drama,159185
310,Rent-a-Kid (1995),Comedy,36357
311,Relative Fear (1994),Horror|Thriller,92769
312,Stuart Saves His Family (1995),Comedy,28033
313,"Swan Princess, The (1994)",Animation|Children's,22586
314,"Secret of Roan Inish, The (1994)",Drama,14334
315,"Specialist, The (1994)",Action,2636
316,Stargate (1994),Action|Adventure|Sci-Fi,2164
317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,11395
318,"Shawshank Redemption, The (1994)",Drama,278
319,Shallow Grave (1994),Thriller,9905
320,Suture (1993),Film-Noir|Thriller,87078
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,12527
322,Swimming with Sharks (1995),Comedy|Drama,20306
324,"Sum of Us, The (1994)",Comedy,36614
325,National Lampoon's Senior Trip (1995),Comedy,27993
326,To Live (Huozhe) (1994),Drama,31439
327,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,9067
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,9059
329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,193
330,Tales from the Hood (1995),Comedy|Horror,25066
331,Tom & Viv (1994),Drama,46797
332,Village of the Damned (1995),Horror|Sci-Fi,12122
333,Tommy Boy (1995),Comedy,11381
334,Vanya on 42nd Street (1994),Drama,32636
335,"Underneath, The (1995)",Mystery|Thriller,36141
336,"Walking Dead, The (1995)",Drama|War,95963
337,What's Eating Gilbert Grape (1993),Drama,1587
338,Virtuosity (1995),Sci-Fi|Thriller,9271
339,While You Were Sleeping (1995),Comedy|Romance,2064
340,"War, The (1994)",Adventure|Drama,19855
341,Double Happiness (1994),Drama,60855
342,Muriel's Wedding (1994),Comedy|Romance,236
343,"Baby-Sitters Club, The (1995)",Children's,48287
344,Ace Ventura: Pet Detective (1994),Comedy,3049
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,2759
346,Backbeat (1993),Drama|Musical,12635
347,Bitter Moon (1992),Drama,10497
348,Bullets Over Broadway (1994),Comedy,11382
349,Clear and Present Danger (1994),Action|Adventure|Thriller,9331
350,"Client, The (1994)",Drama|Mystery|Thriller,10731
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,10464
352,Crooklyn (1994),Comedy,34152
353,"Crow, The (1994)",Action|Romance|Thriller,9495
354,Cobb (1994),Drama,29973
355,"Flintstones, The (1994)",Children's|Comedy,888
356,Forrest Gump (1994),Comedy|Romance|War,13
357,Four Weddings and a Funeral (1994),Comedy|Romance,712
358,Higher Learning (1995),Drama,16295
359,I Like It Like That (1994),Comedy|Drama|Romance,48992
360,I Love Trouble (1994),Action|Comedy,10879
361,It Could Happen to You (1994),Drama|Romance,10660
362,"Jungle Book, The (1994)",Adventure|Children's|Romance,10714
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,41647
364,"Lion King, The (1994)",Animation|Children's|Musical,8587
365,Little Buddha (1993),Drama,1689
366,Wes Craven's New Nightmare (1994),Horror,11596
367,"Mask, The (1994)",Comedy|Crime|Fantasy,854
368,Maverick (1994),Action|Comedy|Western,9359
369,Mrs. Parker and the Vicious Circle (1994),Drama,23333
370,Naked Gun 33 1/3: The Final Insult (1994),Comedy,36593
371,"Paper, The (1994)",Comedy|Drama,12280
372,Reality Bites (1994),Comedy|Drama,2788
373,Red Rock West (1992),Thriller,10427
374,Richie Rich (1994),Children's|Comedy,11011
375,Safe Passage (1994),Drama,49803
376,"River Wild, The (1994)",Action|Thriller,8987
377,Speed (1994),Action|Romance|Thriller,1637
378,Speechless (1994),Comedy|Romance,15128
379,Timecop (1994),Action|Sci-Fi,8831
380,True Lies (1994),Action|Adventure|Comedy|Romance,36955
381,When a Man Loves a Woman (1994),Drama,10449
382,Wolf (1994),Drama|Horror,10395
383,Wyatt Earp (1994),Western,12160
384,Bad Company (1995),Action,40480
385,"Man of No Importance, A (1994)",Drama,52038
386,S.F.W. (1994),Drama,29444
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,26352
388,Boys Life (1995),Drama,39953
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,41580
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,315
391,Jason's Lyric (1994),Crime|Drama,22067
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,18242
393,Street Fighter (1994),Action,11667
394,Coldblooded (1995),Action,32502
395,Desert Winds (1995),Drama,267188
396,Fall Time (1995),Drama,28732
397,"Fear, The (1995)",Horror,75555
398,Frank and Ollie (1995),Documentary,42981
399,Girl in the Cadillac (1995),Drama,278939
400,Homage (1995),Drama,291731
401,Mirage (1995),Action|Thriller,226229
402,Open Season (1996),Comedy,203119
403,Two Crimes (1995),Comedy|Crime|Drama,172923
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,316098
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,8011
406,Federal Hill (1994),Drama,171857
407,In the Mouth of Madness (1995),Horror|Thriller,2654
408,8 Seconds (1994),Drama,18069
409,Above the Rim (1994),Drama,19092
410,Addams Family Values (1993),Comedy,2758
411,You So Crazy (1994),Comedy,38129
412,"Age of Innocence, The (1993)",Drama,10436
413,Airheads (1994),Comedy,13595
414,"Air Up There, The (1994)",Comedy,46094
415,Another Stakeout (1993),Comedy|Thriller,9409
416,Bad Girls (1994),Western,11853
417,Barcelona (1994),Comedy|Romance,16771
418,Being Human (1993),Drama,46924
419,"Beverly Hillbillies, The (1993)",Comedy,11041
420,Beverly Hills Cop III (1994),Action|Comedy,306
421,Black Beauty (1994),Adventure|Children's,14522
422,Blink (1994),Thriller,26203
423,Blown Away (1994),Action|Thriller,178
424,Blue Chips (1994),Drama,19819
425,Blue Sky (1994),Drama|Romance,57834
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,4722
427,Boxing Helena (1993),Mystery|Romance|Thriller,18215
428,"Bronx Tale, A (1993)",Drama,1607
429,Cabin Boy (1994),Comedy,26391
430,Calendar Girl (1993),Drama,117553
431,Carlito's Way (1993),Crime|Drama,6075
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,11310
433,Clean Slate (1994),Comedy,18658
434,Cliffhanger (1993),Action|Adventure|Crime,9350
435,Coneheads (1993),Comedy|Sci-Fi,9612
436,Color of Night (1994),Drama|Thriller,2124
437,Cops and Robbersons (1994),Comedy,26261
438,"Cowboy Way, The (1994)",Action|Comedy,19176
439,Dangerous Game (1993),Drama,49299
440,Dave (1993),Comedy|Romance,11566
441,Dazed and Confused (1993),Comedy,9571
442,Demolition Man (1993),Action|Sci-Fi,9739
443,"Endless Summer 2, The (1994)",Documentary,24257
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,34444
445,Fatal Instinct (1993),Comedy,26141
446,Farewell My Concubine (1993),Drama|Romance,10997
447,"Favor, The (1994)",Comedy|Romance,50463
448,Fearless (1993),Drama,10443
449,Fear of a Black Hat (1993),Comedy,20239
450,With Honors (1994),Comedy|Drama,16297
451,Flesh and Bone (1993),Drama|Mystery|Romance,18551
452,Widows' Peak (1994),Drama,25440
453,For Love or Money (1993),Comedy,9024
454,"Firm, The (1993)",Drama|Thriller,37233
455,Free Willy (1993),Adventure|Children's|Drama,1634
456,Fresh (1994),Drama,13815
457,"Fugitive, The (1993)",Action|Thriller,5503
458,Geronimo: An American Legend (1993),Drama|Western,35588
459,"Getaway, The (1994)",Action,2087
460,Getting Even with Dad (1994),Comedy,41579
461,Go Fish (1994),Drama|Romance,18620
462,"Good Man in Africa, A (1994)",Action|Adventure,41006
463,Guilty as Sin (1993),Crime|Drama|Thriller,4916
464,Hard Target (1993),Action|Adventure|Crime|Thriller,2019
465,Heaven & Earth (1993),Action|Drama|War,31642
466,Hot Shots! Part Deux (1993),Action|Comedy|War,9255
467,Live Nude Girls (1995),Comedy,26271
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,10612
469,"House of the Spirits, The (1993)",Drama|Romance,2259
470,House Party 3 (1994),Comedy,16097
471,"Hudsucker Proxy, The (1994)",Comedy|Romance,11934
472,I'll Do Anything (1994),Comedy|Drama,106143
473,In the Army Now (1994),Comedy|War,12475
474,In the Line of Fire (1993),Action|Thriller,9386
475,In the Name of the Father (1993),Drama,7984
476,"Inkwell, The (1994)",Comedy|Drama,59930
477,What's Love Got to Do with It? (1993),Drama,15765
478,Jimmy Hollywood (1994),Comedy,31643
479,Judgment Night (1993),Action,6
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,329
481,Kalifornia (1993),Drama|Thriller,10909
482,Killing Zoe (1994),Thriller,507
483,King of the Hill (1993),Drama,34024
484,Lassie (1994),Adventure|Children's,29918
485,Last Action Hero (1993),Action|Comedy,9593
486,Life with Mikey (1993),Comedy,42580
487,Lightning Jack (1994),Comedy|Western,22317
488,M. Butterfly (1993),Drama,1413
489,Made in America (1993),Comedy,12121
490,Malice (1993),Thriller,2246
491,"Man Without a Face, The (1993)",Drama,10502
492,Manhattan Murder Mystery (1993),Comedy|Mystery,10440
493,Menace II Society (1993),Action|Crime|Drama,9516
494,Executive Decision (1996),Action|Thriller,2320
495,In the Realm of the Senses (Ai no corrida) (1976),Drama,5879
496,What Happened Was... (1994),Comedy|Drama|Romance,83718
497,Much Ado About Nothing (1993),Comedy|Romance,11971
498,Mr. Jones (1993),Drama|Romance,2625
499,Mr. Wonderful (1993),Comedy|Romance,31911
500,Mrs. Doubtfire (1993),Comedy,788
501,Naked (1993),Drama,21450
502,"Next Karate Kid, The (1994)",Action|Children's,11231
503,"New Age, The (1994)",Drama,41588
504,No Escape (1994),Action|Sci-Fi,10447
505,North (1994),Comedy,31586
506,Orlando (1993),Drama,9300
507,"Perfect World, A (1993)",Action|Drama,9559
508,Philadelphia (1993),Drama,9800
509,"Piano, The (1993)",Drama|Romance,713
510,Poetic Justice (1993),Drama,8291
511,"Program, The (1993)",Action|Drama,18133
512,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,25557
513,Radioland Murders (1994),Comedy|Mystery|Romance,22588
514,"Ref, The (1994)",Comedy,10872
515,"Remains of the Day, The (1993)",Drama,1245
516,Renaissance Man (1994),Comedy|Drama|War,11858
517,Rising Sun (1993),Action|Drama|Mystery,7007
518,"Road to Wellville, The (1994)",Comedy,10467
519,Robocop 3 (1993),Sci-Fi|Thriller,5550
520,Robin Hood: Men in Tights (1993),Comedy,8005
521,Romeo Is Bleeding (1993),Crime|Thriller,2088
522,Romper Stomper (1992),Action|Drama,10412
523,Ruby in Paradise (1993),Drama,47889
524,Rudy (1993),Drama,14534
525,"Saint of Fort Washington, The (1993)",Drama,56583
526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,41878
527,Schindler's List (1993),Drama|War,424
528,"Scout, The (1994)",Drama,35233
529,Searching for Bobby Fischer (1993),Drama,14291
530,Second Best (1994),Drama,103413
531,"Secret Garden, The (1993)",Children's|Drama,11236
532,Serial Mom (1994),Comedy|Crime|Horror,11592
533,"Shadow, The (1994)",Action,8850
534,Shadowlands (1993),Drama|Romance,10445
535,Short Cuts (1993),Drama,695
536,"Simple Twist of Fate, A (1994)",Drama,43535
537,Sirens (1994),Comedy|Drama,12519
538,Six Degrees of Separation (1993),Drama,23210
539,Sleepless in Seattle (1993),Comedy|Romance,858
540,Sliver (1993),Thriller,867
541,Blade Runner (1982),Film-Noir|Sci-Fi,78
542,Son in Law (1993),Comedy,13203
543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,10442
544,Striking Distance (1993),Action,11074
546,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi,9607
547,Surviving the Game (1994),Action|Adventure|Thriller,17585
548,Terminal Velocity (1994),Action,9057
549,Thirty-Two Short Films About Glenn Gould (1993),Documentary,20967
550,Threesome (1994),Comedy|Romance,10635
551,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,9479
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy,10057
553,Tombstone (1993),Western,11969
554,Trial by Jury (1994),Thriller,41590
555,True Romance (1993),Action|Crime|Romance,319
556,"War Room, The (1993)",Documentary,26408
558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy,15139
559,"Paris, France (1993)",Comedy,161158
560,"Beans of Egypt, Maine, The (1994)",Drama,218473
561,Killer (Bulletproof Heart) (1994),Thriller,85247
562,Welcome to the Dollhouse (1995),Comedy|Drama,11446
563,Germinal (1993),Drama,51980
564,Chasers (1994),Comedy,24405
565,Cronos (1992),Horror,11655
566,Naked in New York (1994),Comedy|Romance,11800
567,Kika (1993),Drama,8223
